"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"04F3E596-B231-1D03-93F1694D92A5F804","BROOKS STREET BOWL","413 BROOKS  ST ","WAKE FOREST","NC","27587","","","19194881651"

"04F99854-009D-5139-7286AC66B1ED4DAF","DICKEY'S BARBECUE PIT #413","6552 GLENWOOD  AVE ","RALEIGH","NC","27612","","","19194363995"

"05008F2F-FCE8-88F4-5F095F39D806CD3D","THE YARD HOUSE #41","4208 SIX FORKS  RD ","RALEIGH","NC","27609","","","19198812590"

"05781571-D58F-1EE2-DB40597F49D3EEEB","SLICE OF NY PIZZA","2045 CREEKSIDE LANDING DR ","APEX","NC","27502","","","19193870500"

"0579154B-C7A1-D375-27348090C7400D84","One Whirled Cafe","3652 Rogers Road","WAKE FOREST","NC","27587","","","19195621118"

"05B2BE11-058B-AB3D-017B2DEC467345CE","Crafty Beer Shop","8450 Honeycutt Road","RALEIGH","NC","27615","","","19197030874"

"05F4A2BC-9EA6-C527-77B0AB8B1405469E","FRESCA CAFE' AND GELATO","302 COLONADES  WAY ","RALEIGH","NC","27518","","","19198518171"

"05FC4828-D045-412A-668B9DA54E40F115","FLYING BURRITO","4800 GROVE BARTON RD ","RALEIGH","NC","27613","","","19197852734"

"0602A9F6-C40F-A0C9-46C8CFDD00DA960D","RUCKUS PIZZA PASTA & SPIRITS #3","1101 MARKET CENTER  DR ","MORRISVILLE","NC","27560","","","19193883500"

"06051288-0BE6-6884-8493B3CB6CA929B8","China Wok","7440-143 Louisburg RD ","RALEIGH","NC","27616","","","19198629898"

"06120DD7-0E13-3205-5876E4A445033F6F","COMFORT INN FUQUAY VARINA BREAKFAST","7616 PURFOY RD ","FUQUAY VARINA","NC","27526","","","19195579000"

"061DBBC8-951E-4450-FE2D44BF5214156E","NET APP CAFE BLDG3","7301 KIT CREEK  RD ","RTP","NC","27709","","",""

"062A6A30-E1F1-135E-559A847185DBD6FB","SUGARLAND","2031 CAMERON ST ","RALEIGH","NC","27605","","","19198352100"

"065B70C3-5056-A20B-FA23A6C8033B0DD7","HWY 55 OF APEX","802 PERRY RD ","APEX","NC","27502","","","19193033533"

"0686332A-1422-201B-1921E27F28651CDF","Subway #41217","8410-140 Louisburg RD ","RALEIGH","NC","27616","","","19192660300"

"06CE930F-1422-201B-19E1DA19BBC31B7C","Michelangelos","7280 GB Alford  HWY ","HOLLY SPRINGS","NC","27540","","","19195574992"

