business_id,name,address,city,state,postal_code,latitude,longitude,phone_number
FA0000179,"EDWARDS THEATERS","1575 N MOUNTAIN AV ",ONTARIO,CA,91762,34.0863410000,-117.6702840000,9094605312

FA0000183,"MOBIL MART YUCAIPA","31429 YUCAIPA BL ",YUCAIPA,CA,92399,34.0282690000,-117.1178690000,7607947060

FA0000184,"CHANIDA THAI CUISINE","34664 COUNTY LINE RD 15",YUCAIPA,CA,92399,34.0048500000,-117.0487660000,9094460577

FA0000190,"TACO BELL ","18772 VALLEY BL ",BLOOMINGTON,CA,92316,34.0706210000,-117.3954720000,9094212510

FA0000193,"STARBUCKS COFFEE ","1181 S MT  VERNON AV ",COLTON,CA,92324,34.0488230000,-117.3093890000,9093702234

FA0000195,"TMSO INC","2187 W HIGHLAND AV ",SAN BERNARDINO,CA,92405,34.1359270000,-117.3390360000,9093944728

FA0000196,"POORKY'S","208 E MAIN ST ",BARSTOW,CA,92311,34.8986120000,-117.0258870000,7607809726

FA0000197,"CIRCLE K ","15960 LOS SERRANOS ",CHINO HILLS,CA,91709,33.9622560000,-117.6945320000,9096069375

FA0000198,"RITE AID ","15510 MAIN ST",HESPERIA,CA,92345,34.4251030000,-117.3245710000,7609481470

FA0000199,"RITE AID ","17441 MAIN ST",HESPERIA,CA,92345,34.4185670000,-117.2823560000,7609484430

FA0000200,"CITRONE","328 ORANGE ST ",REDLANDS,CA,92373,34.0583330000,-117.1824440000,9097936635

FA0000201,"VALERO","7996 ARCHIBALD AV ",RANCHO CUCAMONGA,CA,91730,34.1087750000,-117.5936590000,9099898208

FA0000202,"G & M OIL COMPANY ","187 N F ST",SAN BERNARDINO,CA,92410,34.1023030000,-117.2962640000,9098882243

FA0000203,"DOMINO'S ","26517 HWY 18 ",RIMFOREST,CA,92378,34.2294250000,-117.2255290000,9093361255

FA0000204,"VALERO DEPOT ","17928 WIKA RD ",APPLE VALLEY,CA,92307,34.5404310000,-117.2729640000,7602424200

FA0000208,"DAIRY QUEEN","3330 GRAND AV F",CHINO HILLS,CA,91709,34.0025270000,-117.7324650000,9096286682

FA0000216,"PAPA JOHN'S PIZZA ","4434 UNIVERSITY PKWY STE C",SAN BERNARDINO,CA,92401,34.1682960000,-117.3327340000,9097926852

FA0000218,"BONE SIDE DOWN BBQ & GRILL","40465 BIG BEAR BL ",BIG BEAR LAKE,CA,92315,34.2414690000,-116.9192820000,7605085669

FA0000221,"CHEVYS FRESH MEX RESTAURANT","4551 E MILLS CR",ONTARIO,CA,91764,34.0764020000,-117.5532380000,9094814846

FA0000222,"UP HIBACHI GRILL BUFFET","345 W FOOTHILL BL ",UPLAND,CA,91786,34.1071830000,-117.6555710000,9099829939

FA0000228,"WIENERSCHNITZEL","1175 E WALNUT ST ",ONTARIO,CA,91761,34.0268030000,-117.6293910000,7146142853

FA0000229,"JACK IN THE BOX ","4351 ONTARIO MILLS PKWY ",ONTARIO,CA,91764,34.0692140000,-117.5567460000,9094844842

FA0000246,"EXPRESS GAS & FOOD","40873 SUNRISE CANYON RD ",YERMO,CA,92398,34.9049050000,-116.8285180000,7602542686

FA0000249,"LUCKY KHAN SERVICE STATION","1425 E 4TH ST ",ONTARIO,CA,91764,34.0777820000,-117.6252750000,

FA0000253,"ALOHA KONA HAWAIIAN BBQ","6331 HAVEN AV UNIT 1",RANCHO CUCAMONGA,CA,91737,34.1385630000,-117.5756220000,9099891206

FA0000254,"BURGER KING ","16878 FOOTHILL AV ",FONTANA,CA,92335,34.1067510000,-117.4363480000,9093571900

FA0000255,"SENOR BAJA","1620 W FOOTHILL BL B",UPLAND,CA,91786,34.1067470000,-117.6814320000,9099462848

FA0000258,"HESPERIA CHEVRON","15933 MAIN ST ",HESPERIA,CA,92345,34.4233400000,-117.3146980000,7609566364

FA0000265,"SEOUL GARDEN KOREAN BBQ RESTAURANT","15449 ANACAPA RD ",VICTORVILLE,CA,92392,34.5051930000,-117.3251140000,7602437050

FA0000271,"REDLANDS UNDERGROUND RESTAURANT","19 E CITRUS AV STE 103",REDLANDS,CA,92373,34.0557120000,-117.1823020000,9097981500

FA0000272,"RITE AID ","25710 BARTON RD ",LOMA LINDA,CA,92354,34.0486010000,-117.2429250000,9097990591

FA0000275,"TAIL GATE EXPRESS SPORTS GRILL","1871 E MAIN ST STE G6",BARSTOW,CA,92311,34.8902970000,-116.9978890000,

FA0000276,"VILLAGE THEATERS NORTH","602 PINE KNOT AV ",BIG BEAR LAKE,CA,92315,34.2415200000,-116.9116450000,9098667907

FA0000277,"SWEET MERCANTILE CO","8673 BASELINE RD B",RANCHO CUCAMONGA,CA,91730,34.1214210000,-117.6168400000,9099893709

FA0000288,"EL PATRON","3724 PHELAN RD A",PHELAN,CA,92372,34.4264790000,-117.5799460000,9515445946

FA0000291,"PAPA JOHN'S PIZZA ","208 E BASELINE AV ",RIALTO,CA,92376,34.1215330000,-117.3680170000,9097926812

FA0000293,"AIRPORT MOBIL","540 N VINEYARD AV ",ONTARIO,CA,91764,34.0689350000,-117.6109390000,9099378200

FA0000296,"FARMER BOYS ","1380 S ETIWANDA AV ",ONTARIO,CA,91761,34.0471280000,-117.5244430000,9093901199

FA0000298,"EL OSITO NUTRITION CENTER","631 N MT  VERNON AV ",SAN BERNARDINO,CA,92411,34.1107580000,-117.3137040000,9093816200

FA0000301,"COSTCO WHOLESALE ","1099 E HOSPITALITY LN ",SAN BERNARDINO,CA,92408,34.0687250000,-117.2619470000,9094783445

FA0000304,"ALBERTSONS ","20261 HWY 18 ",APPLE VALLEY,CA,92307,34.5259540000,-117.2207280000,7602423660

FA0000311,"CHEVRON ","31412 YUCAIPA BL ",YUCAIPA,CA,92399,34.0283330000,-117.1181580000,

FA0000313,"CARL'S JR ","14454 VALLEY BL ",FONTANA,CA,92335,34.0703290000,-117.4900620000,9094292226

FA0000315,"GEN KOREAN BBQ HOUSE","11837 FOOTHILL BL A",RANCHO CUCAMONGA,CA,91730,34.1061590000,-117.5468180000,9099441878

FA0000317,"MILLIKEN SHELL","11289 BASELINE RD ",RANCHO CUCAMONGA,CA,91730,34.1212530000,-117.5593490000,9094766930

FA0000322,"G & M OIL COMPANY ","1580 W REDLANDS BL ",REDLANDS,CA,92374,34.0650700000,-117.1683600000,9097936170

FA0000323,"POPEYES LOUISIANA KITCHEN ","16986 VALLEY BL H",FONTANA,CA,92335,34.0705100000,-117.4341280000,8182312572

