business_id,score,date,type
09FOOD-0077,79,20150316,routine

09FOOD-0077,92,20141104,routine

09FOOD-0077,100,20140723,followup

09FOOD-0077,84,20140707,routine

09FOOD-0077,99,20140331,followup

09FOOD-0077,84,20140312,routine

09FOOD-0078,97,20150406,routine

09FOOD-0078,100,20141103,routine

09FOOD-0078,100,20140725,routine

09FOOD-0078,93,20140422,routine

09FOOD-0079,90,20150324,routine

09FOOD-0079,93,20141111,routine

09FOOD-0079,98,20140714,followup

09FOOD-0079,84,20140702,routine

09FOOD-0079,89,20140220,routine

09FOOD-0083,96,20150325,routine

09FOOD-0083,100,20141125,routine

09FOOD-0083,100,20140901,followup

09FOOD-0083,88,20140821,routine

09FOOD-0083,100,20140505,followup

09FOOD-0083,85,20140423,routine

09FOOD-0084,99,20150526,routine

09FOOD-0084,98,20150204,routine

09FOOD-0084,100,20141203,routine

09FOOD-0084,100,20140908,followup

09FOOD-0084,93,20140827,routine

09FOOD-0084,97,20140428,routine

09FOOD-0085,82,20150526,routine

09FOOD-0085,92,20150203,routine

09FOOD-0085,91,20141002,routine

09FOOD-0085,86,20140527,routine

09FOOD-0085,95,20140117,routine

09FOOD-0087,84,20150513,routine

09FOOD-0087,90,20150217,routine

09FOOD-0087,83,20141014,routine

09FOOD-0087,97,20140430,routine

09FOOD-0089,96,20150330,routine

09FOOD-0089,91,20141017,routine

09FOOD-0089,96,20140512,routine

09FOOD-0090,100,20150428,routine

09FOOD-0090,100,20141216,routine

09FOOD-0090,100,20140828,routine

09FOOD-0090,94,20140430,routine

09FOOD-0091,97,20150320,routine

09FOOD-0091,100,20141120,routine

09FOOD-0091,92,20140812,routine

09FOOD-0091,97,20140423,routine

09FOOD-0092,81,20150325,routine

09FOOD-0092,92,20141110,routine

09FOOD-0092,84,20140715,routine

09FOOD-0092,88,20140331,routine

09FOOD-0093,92,20150324,routine

09FOOD-0093,100,20141105,routine

09FOOD-0093,99,20140730,routine

09FOOD-0093,96,20140429,routine

09FOOD-0094,95,20141106,routine

09FOOD-0094,97,20140519,routine

09FOOD-0095,98,20150421,routine

09FOOD-0095,100,20141119,routine

09FOOD-0095,91,20140408,routine

09FOOD-0099,92,20150617,routine

09FOOD-0099,95,20150216,routine

09FOOD-0099,89,20141002,routine

09FOOD-0099,92,20140529,routine

09FOOD-0099,97,20140130,routine

09FOOD-0100,82,20150325,routine

09FOOD-0100,82,20141113,routine

09FOOD-0100,85,20140723,routine

09FOOD-0100,89,20140409,routine

09FOOD-0101,92,20141024,routine

09FOOD-0101,86,20140623,routine

09FOOD-0105,100,20150105,routine

09FOOD-0105,99,20140728,routine

09FOOD-0105,99,20140404,routine

09FOOD-0106,99,20150415,routine

09FOOD-0106,99,20141114,routine

09FOOD-0106,98,20140619,routine

09FOOD-0107,100,20150205,routine

09FOOD-0107,100,20141014,routine

09FOOD-0107,100,20140625,routine

09FOOD-0108,100,20150612,routine

09FOOD-0108,100,20150318,routine

09FOOD-0108,100,20140729,routine

09FOOD-0108,100,20140324,routine

09FOOD-0114,100,20150422,routine

09FOOD-0114,100,20141118,routine

09FOOD-0114,100,20140701,routine

09FOOD-0115,100,20150324,routine

09FOOD-0115,100,20141203,routine

09FOOD-0115,100,20140829,routine

09FOOD-0115,100,20140414,routine

09FOOD-0116,96,20150518,routine

09FOOD-0116,100,20141203,routine

09FOOD-0116,100,20140708,routine

09FOOD-0117,86,20141217,routine

09FOOD-0117,100,20140724,followup

09FOOD-0117,85,20140717,routine

09FOOD-0119,100,20150402,routine

09FOOD-0119,100,20141223,routine

09FOOD-0119,95,20140826,routine

09FOOD-0119,100,20140225,routine

09FOOD-0120,96,20150306,routine

09FOOD-0120,90,20140124,routine

09FOOD-0121,90,20150319,routine

09FOOD-0121,83,20141118,routine

09FOOD-0121,82,20140729,routine

09FOOD-0121,87,20140416,routine

09FOOD-0129,99,20150320,routine

09FOOD-0129,98,20140722,routine

09FOOD-0129,95,20140326,routine

09FOOD-0130,95,20140422,routine

09FOOD-0131,100,20150323,routine

09FOOD-0132,100,20150408,routine

09FOOD-0132,100,20141121,routine

09FOOD-0132,100,20140808,routine

09FOOD-0132,100,20140422,routine

09FOOD-0133,96,20140428,routine

09FOOD-0135,98,20150429,routine

09FOOD-0135,100,20141114,routine

09FOOD-0135,98,20140411,routine

09FOOD-0137,99,20150424,routine

09FOOD-0139,100,20150422,routine

09FOOD-0139,100,20140421,routine

09FOOD-0140,100,20150420,routine

09FOOD-0140,100,20140428,routine

09FOOD-0147,100,20150408,routine

09FOOD-0147,100,20141030,routine

09FOOD-0147,100,20140422,routine

09FOOD-0149,100,20140422,routine

09FOOD-0151,98,20150407,routine

09FOOD-0151,100,20141201,routine

09FOOD-0151,98,20140820,routine

09FOOD-0151,97,20140507,routine

09FOOD-0153,98,20150121,routine

09FOOD-0153,97,20140211,routine

09FOOD-0154,97,20150220,routine

09FOOD-0154,99,20141013,routine

09FOOD-0154,91,20140616,routine

09FOOD-0157,100,20140822,routine

